InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
539993,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,04/01/2011 10:00,3.25,13313
540004,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,04/01/2011 10:37,1.06,13094
540013,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,04/01/2011 11:30,6.75,16255
540013,22585,PACK OF 6 BIRDY GIFT TAGS,5,04/01/2011 11:30,1.25,16255
540013,21034,REX CASH+CARRY JUMBO SHOPPER,1,04/01/2011 11:30,0.95,16255
540014,21035,SET/2 RED RETROSPOT TEA TOWELS ,1,04/01/2011 11:34,2.95,14606
540016,21533,RETROSPOT LARGE MILK JUG,1,04/01/2011 11:42,4.95,16282
540017,22834,HAND WARMER BABUSHKA DESIGN,24,04/01/2011 11:48,0.85,13963
540019,22489,PACK OF 12 TRADITIONAL CRAYONS,24,04/01/2011 12:18,0.42,12957
540021,21670,BLUE SPOT CERAMIC DRAWER KNOB,2,04/01/2011 12:51,1.25,17841
540021,20723,STRAWBERRY CHARLOTTE BAG,1,04/01/2011 12:51,0.85,17841
540023,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,04/01/2011 12:58,8.5,15039
540027,82613C,METAL SIGN CUPCAKE SINGLE HOOK,20,04/01/2011 13:30,0.42,14210
540028,22199,FRYING PAN RED RETROSPOT,4,04/01/2011 13:38,4.25,14180
540028,84968D,SET OF 16 VINTAGE RED CUTLERY,2,04/01/2011 13:38,12.75,14180
540031,22469,HEART OF WICKER SMALL,6,04/01/2011 13:50,1.65,17975
540033,16156S,WRAP PINK FAIRY CAKES ,25,04/01/2011 14:12,0.42,13680
540043,22776,SWEETHEART CAKESTAND 3 TIER,1,04/01/2011 14:21,9.95,15164
540073,21877,HOME SWEET HOME MUG,12,04/01/2011 14:47,1.25,16814
540094,22457,NATURAL SLATE HEART CHALKBOARD ,6,04/01/2011 15:33,2.95,14221
540095,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,04/01/2011 15:40,1.25,14553
540098,22470,HEART OF WICKER LARGE,2,04/01/2011 15:50,2.95,16241
540098,21166,COOK WITH WINE METAL SIGN ,1,04/01/2011 15:50,1.95,16241
540099,20724,RED RETROSPOT CHARLOTTE BAG,20,04/01/2011 16:41,0.85,15808
540114,21980,PACK OF 12 RED RETROSPOT TISSUES ,48,05/01/2011 09:44,0.29,15498
540122,22512,DOORSTOP RACING CAR DESIGN,8,05/01/2011 10:39,1.25,13694
540149,20676,RED RETROSPOT BOWL,8,05/01/2011 11:00,1.25,12921
540163,82581,TOILET METAL SIGN,12,05/01/2011 11:52,0.55,13089
540161,22502,PICNIC BASKET WICKER SMALL,1,05/01/2011 11:52,5.95,16719
540161,22729,ALARM CLOCK BAKELIKE ORANGE,3,05/01/2011 11:52,3.75,16719
540168,84991,60 TEATIME FAIRY CAKE CASES,2,05/01/2011 12:15,0.55,13715
540168,22564,ALPHABET STENCIL CRAFT,6,05/01/2011 12:15,1.25,13715
540168,22241,GARLAND WOODEN HAPPY EASTER,6,05/01/2011 12:15,1.25,13715
540172,22507,MEMO BOARD RETROSPOT  DESIGN,1,05/01/2011 12:29,4.95,18109
540178,21064,BOOM BOX SPEAKER BOYS,2,05/01/2011 12:42,5.95,12681
540179,22366,DOORMAT AIRMAIL ,1,05/01/2011 12:54,7.95,16033
540179,21754,HOME BUILDING BLOCK WORD,4,05/01/2011 12:54,5.95,16033
540185,16161P,WRAP ENGLISH ROSE ,25,05/01/2011 13:40,0.42,14653
540188,22714,CARD BIRTHDAY COWBOY,12,05/01/2011 13:57,0.42,16771
540188,22717,CARD DOG AND BALL ,12,05/01/2011 13:57,0.42,16771
540239,22859,EASTER TIN BUNNY BOUQUET,12,05/01/2011 14:48,1.65,12682
540240,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,05/01/2011 15:09,4.95,17585
540240,22222,CAKE PLATE LOVEBIRD WHITE,12,05/01/2011 15:09,1.95,17585
540240,22512,DOORSTOP RACING CAR DESIGN,8,05/01/2011 15:09,1.25,17585
540247,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,1,05/01/2011 15:56,2.55,15464
540247,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,05/01/2011 15:56,4.95,15464
540247,35909A,RABBIT EASTER DECORATION,1,05/01/2011 15:56,2.95,15464
540247,21754,HOME BUILDING BLOCK WORD,3,05/01/2011 15:56,5.95,15464
540248,22935,BAKING MOULD ROSE MILK CHOCOLATE,2,05/01/2011 15:57,3.25,15034
540260,71279,PINK GLASS CANDLEHOLDER,6,06/01/2011 09:40,2.95,13097
540260,82567,AIRLINE LOUNGE METAL SIGN,6,06/01/2011 09:40,2.1,13097
540267,22379,RECYCLING BAG RETROSPOT ,100,06/01/2011 11:12,1.85,12415
540267,22516,CHILDS GARDEN RAKE BLUE,36,06/01/2011 11:12,1.85,12415
540267,21243,PINK  POLKADOT PLATE ,96,06/01/2011 11:12,1.45,12415
540268,22198,LARGE POPCORN HOLDER ,36,06/01/2011 11:25,1.65,13458
540268,21563,RED HEART SHAPE LOVE BUCKET ,6,06/01/2011 11:25,2.95,13458
540268,22629,SPACEBOY LUNCH BOX ,12,06/01/2011 11:25,1.95,13458
540269,22468,BABUSHKA LIGHTS STRING OF 10,6,06/01/2011 11:39,6.75,14135
540276,84991,60 TEATIME FAIRY CAKE CASES,24,06/01/2011 12:16,0.55,14680
540278,21479,WHITE SKULL HOT WATER BOTTLE ,2,06/01/2011 12:31,3.75,15719
540288,48138,DOORMAT UNION FLAG,2,06/01/2011 12:45,7.95,17634
540288,84927F,PSYCHEDELIC TILE HOOK,1,06/01/2011 12:45,2.1,17634
540348,22084,PAPER CHAIN KIT EMPIRE,6,06/01/2011 13:56,2.95,12841
540349,22663,JUMBO BAG DOLLY GIRL DESIGN,10,06/01/2011 14:07,1.95,15379
540350,22962,JAM JAR WITH PINK LID,1,06/01/2011 14:14,0.85,18283
540350,82578,KITCHEN METAL SIGN,1,06/01/2011 14:14,0.55,18283
540353,22457,NATURAL SLATE HEART CHALKBOARD ,3,06/01/2011 14:53,2.95,13764
540353,21499,BLUE POLKADOT WRAP,25,06/01/2011 14:53,0.42,13764
540357,22345,PARTY PIZZA DISH BLUE POLKADOT,24,06/01/2011 15:14,0.21,13093
540364,22362,GLASS JAR PEACOCK BATH SALTS,1,06/01/2011 16:03,2.95,14505
540364,22195,LARGE HEART MEASURING SPOONS,2,06/01/2011 16:03,1.65,14505
540364,22697,GREEN REGENCY TEACUP AND SAUCER,2,06/01/2011 16:03,2.95,14505
540372,22613,PACK OF 20 SPACEBOY NAPKINS,12,06/01/2011 16:41,0.85,13081
540372,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,24,06/01/2011 16:41,0.85,13081
540372,22937,BAKING MOULD CHOCOLATE CUPCAKES,12,06/01/2011 16:41,2.55,13081
540372,84991,60 TEATIME FAIRY CAKE CASES,24,06/01/2011 16:41,0.55,13081
540372,20998,ROSE DU SUD OVEN GLOVE,12,06/01/2011 16:41,2.95,13081
540373,21936,RED RETROSPOT PICNIC BAG,3,06/01/2011 17:10,2.95,13280
540373,21531,RED RETROSPOT SUGAR JAM BOWL,3,06/01/2011 17:10,2.55,13280
540383,40016,CHINESE DRAGON PAPER LANTERNS,48,06/01/2011 17:47,0.42,16422
540387,22175,PINK OWL SOFT TOY,6,06/01/2011 17:58,2.95,16306
540396,48138,DOORMAT UNION FLAG,20,06/01/2011 18:33,6.75,14031
540412,22219,LOVEBIRD HANGING DECORATION WHITE ,12,07/01/2011 10:27,0.85,13842
540415,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,10,07/01/2011 10:47,0.85,16889
540415,22862,LOVE HEART NAPKIN BOX ,4,07/01/2011 10:47,4.25,16889
540415,22561,WOODEN SCHOOL COLOURING SET,6,07/01/2011 10:47,1.65,16889
540453,22408,MONEY BOX CONFECTIONERY DESIGN,12,07/01/2011 11:54,1.25,13426
540454,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,07/01/2011 11:57,1.25,16191
540454,22726,ALARM CLOCK BAKELIKE GREEN,12,07/01/2011 11:57,3.75,16191
540455,20750,RED RETROSPOT MINI CASES,4,07/01/2011 12:07,7.95,12583
540458,20665,RED RETROSPOT PURSE ,6,07/01/2011 12:28,2.95,12501
540458,22745,POPPY'S PLAYHOUSE BEDROOM ,6,07/01/2011 12:28,2.1,12501
540458,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,07/01/2011 12:28,3.75,12501
540458,21987,PACK OF 6 SKULL PAPER CUPS,12,07/01/2011 12:28,0.65,12501
540458,10125,MINI FUNKY DESIGN TAPES,20,07/01/2011 12:28,0.42,12501
540459,22971,QUEENS GUARD COFFEE MUG,36,07/01/2011 12:35,2.1,16191
540462,84884A,ANT WHITE WIRE HEART SPIRAL,5,07/01/2011 12:45,3.95,16779
540465,79000,MOROCCAN TEA GLASS,60,07/01/2011 13:30,0.85,17707
540467,71459,HANGING JAM JAR T-LIGHT HOLDER,12,07/01/2011 13:39,0.85,18198
540469,22804,CANDLEHOLDER PINK HANGING HEART,6,07/01/2011 14:04,2.95,12484
540469,22835,HOT WATER BOTTLE I AM SO POORLY,2,07/01/2011 14:04,4.65,12484
540469,20752,BLUE POLKADOT WASHING UP GLOVES,2,07/01/2011 14:04,2.1,12484
540469,48129,DOORMAT TOPIARY,1,07/01/2011 14:04,7.95,12484
540471,22801,ANTIQUE GLASS PEDESTAL BOWL,4,07/01/2011 14:21,3.75,15601
540472,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,07/01/2011 14:22,0.85,18179
540472,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,07/01/2011 14:22,1.25,18179
540472,84992,72 SWEETHEART FAIRY CAKE CASES,24,07/01/2011 14:22,0.55,18179
540473,22625,RED KITCHEN SCALES,1,07/01/2011 14:31,8.5,17284
540473,22937,BAKING MOULD CHOCOLATE CUPCAKES,3,07/01/2011 14:31,2.55,17284
540477,21112,SWISS ROLL TOWEL  PINK  SPOTS,24,07/01/2011 14:49,1.25,13233
540479,47599A,PINK PARTY BAGS,6,07/01/2011 15:19,2.1,14889
540489,82494L,WOODEN FRAME ANTIQUE WHITE ,12,07/01/2011 16:32,2.95,13593
540489,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,07/01/2011 16:32,8.5,13593
540496,22727,ALARM CLOCK BAKELIKE RED ,6,07/01/2011 17:18,3.75,15485
540499,22796,PHOTO FRAME 3 CLASSIC HANGING,4,09/01/2011 10:21,9.95,16923
540501,21111,SWISS ROLL TOWEL  CHOCOLATE  SPOTS,24,09/01/2011 10:43,1.25,13162
540502,21181,PLEASE ONE PERSON METAL SIGN,48,09/01/2011 10:50,1.85,13183
540504,21485,RETROSPOT HEART HOT WATER BOTTLE,2,09/01/2011 11:02,4.95,13668
540504,22694,WICKER STAR ,2,09/01/2011 11:02,2.1,13668
540506,85114C,RED ENCHANTED FOREST PLACEMAT,1,09/01/2011 11:12,1.65,17796
540506,22427,ENAMEL FLOWER JUG CREAM,4,09/01/2011 11:12,5.95,17796
540508,22804,CANDLEHOLDER PINK HANGING HEART,1,09/01/2011 11:20,2.95,14810
540509,22746,POPPY'S PLAYHOUSE LIVINGROOM ,5,09/01/2011 11:27,2.1,14800
540509,22620,4 TRADITIONAL SPINNING TOPS,4,09/01/2011 11:27,1.25,14800
540512,21508,VINTAGE KID DOLLY CARD ,12,09/01/2011 11:39,0.42,17114
540514,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,09/01/2011 11:43,3.75,15708
540515,21175,GIN + TONIC DIET METAL SIGN,4,09/01/2011 11:54,2.1,15059
540518,22228,BUNNY WOODEN PAINTED WITH BIRD ,12,09/01/2011 12:03,0.85,14761
540520,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,2,09/01/2011 12:31,0.42,17555
540522,22418,10 COLOUR SPACEBOY PEN,24,09/01/2011 12:50,0.85,13102
540523,22333,RETROSPOT PARTY BAG + STICKER SET,4,09/01/2011 12:51,1.65,13069
540524,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,09/01/2011 12:53,0.65,16735
540524,21756,BATH BUILDING BLOCK WORD,1,09/01/2011 12:53,5.95,16735
540524,22666,RECIPE BOX PANTRY YELLOW DESIGN,3,09/01/2011 12:53,2.95,16735
540526,22196,SMALL HEART MEASURING SPOONS,1,09/01/2011 13:41,0.85,14606
540526,22567,20 DOLLY PEGS RETROSPOT,3,09/01/2011 13:41,1.25,14606
540531,22754,SMALL RED BABUSHKA NOTEBOOK ,1,09/01/2011 14:03,0.85,16549
540533,20712,JUMBO BAG WOODLAND ANIMALS,3,09/01/2011 14:12,1.95,15005
