InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
540040,22271,FELTCRAFT DOLL ROSIE,12,04/01/2011 14:20,2.95,12483
540178,22894,TABLECLOTH RED APPLES DESIGN ,2,05/01/2011 12:42,8.5,12681
540267,22080,RIBBON REEL POLKADOTS ,120,06/01/2011 11:12,1.45,12415
540267,22859,EASTER TIN BUNNY BOUQUET,48,06/01/2011 11:12,1.65,12415
540348,22938,CUPCAKE LACE PAPER SET 6,4,06/01/2011 13:56,1.95,12841
540365,20750,RED RETROSPOT MINI CASES,6,06/01/2011 16:12,7.95,12413
540410,22968,ROSE COTTAGE KEEPSAKE BOX ,2,07/01/2011 10:04,9.95,12530
540420,84826,ASSTD DESIGN 3D PAPER STICKERS,120,07/01/2011 11:13,0.21,12829
540458,22055,MINI CAKE STAND  HANGING STRAWBERY,8,07/01/2011 12:28,1.65,12501
540458,21447,12 IVORY ROSE PEG PLACE SETTINGS,12,07/01/2011 12:28,1.25,12501
540458,21446,12 RED ROSE PEG PLACE SETTINGS,12,07/01/2011 12:28,1.25,12501
540469,22900, SET 2 TEA TOWELS I LOVE LONDON ,8,07/01/2011 14:04,2.95,12484
540546,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,09/01/2011 15:56,2.95,12766
540550,22834,HAND WARMER BABUSHKA DESIGN,12,10/01/2011 09:11,2.1,12539
540550,22785,SQUARECUSHION COVER PINK UNION FLAG,2,10/01/2011 09:11,6.75,12539
540550,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,10/01/2011 09:11,1.25,12539
540642,16236,KITTY PENCIL ERASERS,28,10/01/2011 13:22,0.21,12681
540642,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,10/01/2011 13:22,4.95,12681
540700,22175,PINK OWL SOFT TOY,12,11/01/2011 09:47,2.95,12393
540801,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,11/01/2011 12:25,1.45,12540
540801,21137,BLACK RECORD COVER FRAME,8,11/01/2011 12:25,3.75,12540
540824,POST,POSTAGE,2,11/01/2011 13:31,18,12728
540835,22383,LUNCH BAG SUKI  DESIGN ,10,11/01/2011 15:00,1.65,12724
540900,22138,BAKING SET 9 PIECE RETROSPOT ,3,12/01/2011 11:46,4.95,12712
540971,22551,PLASTERS IN TIN SPACEBOY,12,12/01/2011 14:10,1.65,12383
540972,POST,POSTAGE,3,12/01/2011 14:13,18,12437
540976,21111,SWISS ROLL TOWEL  CHOCOLATE  SPOTS,6,12/01/2011 15:00,2.95,12652
541115,22099,CARAVAN SQUARE TISSUE BOX,12,13/01/2011 15:34,1.25,12578
541120,84356,POMPOM CURTAIN,12,14/01/2011 09:13,1.95,12490
541120,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,14/01/2011 09:13,2.55,12490
541122,22962,JAM JAR WITH PINK LID,12,14/01/2011 09:23,0.85,12708
541138,20973,12 PENCIL SMALL TUBE WOODLAND,24,14/01/2011 10:42,0.65,12553
541248,84673B,BLUE FLY SWAT,1,16/01/2011 13:04,0.65,12748
541269,22630,DOLLY GIRL LUNCH BOX,12,17/01/2011 11:01,1.95,12626
541269,22511,RETROSPOT BABUSHKA DOORSTOP,8,17/01/2011 11:01,1.25,12626
541430,22059,CERAMIC STRAWBERRY DESIGN MUG,48,18/01/2011 09:50,1.25,12356
541430,84987,SET OF 36 TEATIME PAPER DOILIES,24,18/01/2011 09:50,1.45,12356
541518,21439,BASKET OF TOADSTOOLS,36,19/01/2011 09:05,1.25,12451
541518,40016,CHINESE DRAGON PAPER LANTERNS,24,19/01/2011 09:05,0.42,12451
541518,22847,BREAD BIN DINER STYLE IVORY,4,19/01/2011 09:05,14.95,12451
541567,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,12,19/01/2011 11:51,2.95,12681
541574,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,19/01/2011 12:52,1.65,12826
541631,22244,3 HOOK HANGER MAGIC GARDEN,12,20/01/2011 10:47,1.95,12637
541631,21989,PACK OF 20 SKULL PAPER NAPKINS,12,20/01/2011 10:48,0.85,12637
541675,22859,EASTER TIN BUNNY BOUQUET,6,20/01/2011 13:49,1.65,12402
541703,21365,MIRRORED WALL ART STARS,12,21/01/2011 09:52,2.95,12594
541877,84692,BOX OF 24 COCKTAIL PARASOLS,25,24/01/2011 10:12,0.42,12559
541965,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,24/01/2011 13:27,1.25,12625
542102,22202,MILK PAN PINK POLKADOT,4,25/01/2011 13:26,3.75,12744
542105,22188,BLACK HEART CARD HOLDER,3,25/01/2011 13:35,3.95,12854
542105,22470,HEART OF WICKER LARGE,6,25/01/2011 13:35,2.95,12854
542128,22892,SET OF SALT AND PEPPER TOADSTOOLS,24,25/01/2011 15:13,1.25,12609
542147,22766,PHOTO FRAME CORNICE,8,26/01/2011 10:02,2.95,12782
542215,22447,PIN CUSHION BABUSHKA BLUE,6,26/01/2011 12:27,3.35,12472
542215,85049G,CHOCOLATE BOX RIBBONS ,12,26/01/2011 12:27,1.25,12472
542215,22629,SPACEBOY LUNCH BOX ,12,26/01/2011 12:27,1.95,12472
542237,21731,RED TOADSTOOL LED NIGHT LIGHT,12,26/01/2011 14:30,1.65,12347
542276,22904,CALENDAR PAPER CUT DESIGN,6,27/01/2011 10:19,2.95,12764
542303,21622,VINTAGE UNION JACK CUSHION COVER,4,27/01/2011 11:05,4.95,12539
542303,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,27/01/2011 11:05,8.5,12539
542303,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,27/01/2011 11:05,1.25,12539
542303,21530,DAIRY MAID TOASTRACK,6,27/01/2011 11:05,2.95,12539
542369,22244,3 HOOK HANGER MAGIC GARDEN,12,27/01/2011 13:08,1.95,12645
542369,21580,RABBIT  DESIGN  COTTON TOTE BAG,6,27/01/2011 13:08,2.25,12645
542431,85066,CREAM SWEETHEART MINI CHEST,2,28/01/2011 10:28,12.75,12853
542431,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,28/01/2011 10:28,1.25,12853
542433,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,28/01/2011 10:45,2.1,12726
542433,POST,POSTAGE,2,28/01/2011 10:45,18,12726
542621,POST,POSTAGE,3,31/01/2011 09:05,18,12528
542626,20717,STRAWBERRY SHOPPER BAG,10,31/01/2011 09:51,1.25,12720
542626,POST,POSTAGE,2,31/01/2011 09:51,18,12720
542626,21244,BLUE POLKADOT PLATE ,8,31/01/2011 09:51,1.69,12720
542648,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,31/01/2011 11:46,2.95,12476
542648,22077,6 RIBBONS RUSTIC CHARM,12,31/01/2011 11:46,1.65,12476
542648,22847,BREAD BIN DINER STYLE IVORY,4,31/01/2011 11:46,14.95,12476
542648,22627,MINT KITCHEN SCALES,2,31/01/2011 11:46,8.5,12476
542735,21121,SET/10 RED POLKADOT PARTY CANDLES,24,31/01/2011 15:36,1.25,12681
542887,21481,FAWN BLUE HOT WATER BOTTLE,6,01/02/2011 13:10,2.95,12373
542887,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,01/02/2011 13:10,2.95,12373
542904,22961,JAM MAKING SET PRINTED,36,01/02/2011 14:58,1.45,12682
543037,21171,BATHROOM METAL SIGN ,12,02/02/2011 16:01,1.45,12350
543037,22620,4 TRADITIONAL SPINNING TOPS,12,02/02/2011 16:01,1.25,12350
543055,21319,GLASS CHALICE GREEN  SMALL ,6,03/02/2011 10:41,1.65,12502
543055,22427,ENAMEL FLOWER JUG CREAM,3,03/02/2011 10:41,5.95,12502
543056,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,12,03/02/2011 10:47,4.95,12471
543056,22728,ALARM CLOCK BAKELIKE PINK,12,03/02/2011 10:47,3.75,12471
543179,22532,MAGIC DRAWING SLATE LEAP FROG ,1,04/02/2011 10:32,0.42,12754
543188,21731,RED TOADSTOOL LED NIGHT LIGHT,12,04/02/2011 11:45,1.65,12567
543188,22727,ALARM CLOCK BAKELIKE RED ,8,04/02/2011 11:45,3.75,12567
543188,22728,ALARM CLOCK BAKELIKE PINK,8,04/02/2011 11:45,3.75,12567
543188,22662,LUNCH BAG DOLLY GIRL DESIGN,10,04/02/2011 11:45,1.65,12567
543188,21746,SMALL RED RETROSPOT WINDMILL,12,04/02/2011 11:45,1.25,12567
543370,22920,HERB MARKER BASIL,12,07/02/2011 14:51,0.65,12359
543484,22254,FELT TOADSTOOL LARGE,12,09/02/2011 10:11,1.25,12721
543492,23231,WRAP DOILEY DESIGN,25,09/02/2011 10:41,0.42,12720
543518,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,09/02/2011 11:21,0.64,12753
543518,22623,BOX OF VINTAGE JIGSAW BLOCKS ,60,09/02/2011 11:21,4.25,12753
543541,20749,ASSORTED COLOUR MINI CASES,2,09/02/2011 14:44,7.95,12462
543541,37446,MINI CAKE STAND WITH HANGING CAKES,8,09/02/2011 14:44,1.45,12462
543541,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,09/02/2011 14:44,1.25,12462
543550,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,10/02/2011 09:43,0.85,12601
543647,21544,SKULLS  WATER TRANSFER TATTOOS ,6,10/02/2011 19:49,0.85,12841
543737,21485,RETROSPOT HEART HOT WATER BOTTLE,21,11/02/2011 12:45,4.95,12477
543737,22262,FELT EGG COSY CHICKEN,12,11/02/2011 12:45,0.85,12477
543978,22230,JIGSAW TREE WITH WATERING CAN,10,14/02/2011 15:37,0.85,12867
543978,21070,VINTAGE BILLBOARD MUG ,6,14/02/2011 15:37,1.25,12867
543989,22654,DELUXE SEWING KIT ,80,15/02/2011 09:52,4.95,12415
543989,22722,SET OF 6 SPICE TINS PANTRY DESIGN,48,15/02/2011 09:52,3.45,12415
543989,20726,LUNCH BAG WOODLAND,100,15/02/2011 09:52,1.45,12415
543989,22382,LUNCH BAG SPACEBOY DESIGN ,100,15/02/2011 09:52,1.45,12415
544069,20981,12 PENCILS TALL TUBE WOODLAND,12,15/02/2011 14:17,0.85,12616
544097,22804,CANDLEHOLDER PINK HANGING HEART,32,16/02/2011 09:56,2.55,12455
544115,22522,CHILDS GARDEN FORK BLUE ,12,16/02/2011 11:45,0.85,12727
544193,21533,RETROSPOT LARGE MILK JUG,6,17/02/2011 08:23,4.95,12431
544200,22383,LUNCH BAG SUKI  DESIGN ,10,17/02/2011 10:08,1.65,12494
544355,20665,RED RETROSPOT PURSE ,6,18/02/2011 10:53,2.95,12714
544355,22899,CHILDREN'S APRON DOLLY GIRL ,6,18/02/2011 10:53,2.1,12714
544399,22898,CHILDRENS APRON APPLES DESIGN,8,18/02/2011 12:28,1.95,12594
